epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1757.96,1.04006,1.51097,1.33014,0.74779,0.56436,0.65338,0.43248,1.24603,1.7959,1.6076,0.000663043,0.000663043,0.000663043
2,3366.5,1.12368,1.15987,1.38971,0.65191,0.57261,0.62448,0.37084,1.45013,1.75804,1.92117,0.00127705,0.00127705,0.00127705
3,4881.27,1.15036,1.08875,1.40566,0.73975,0.64356,0.699,0.44737,1.28533,1.39643,1.69342,0.00183826,0.00183826,0.00183826
4,6464.03,1.12752,1.00903,1.38628,0.70921,0.59076,0.63799,0.40486,1.43534,1.62445,1.9807,0.0017624,0.0017624,0.0017624
5,7971.79,1.0788,0.93716,1.35581,0.80468,0.70705,0.7834,0.52553,1.21036,1.16909,1.52835,0.0016832,0.0016832,0.0016832
6,9421.27,1.03864,0.8949,1.33265,0.828,0.70462,0.79911,0.56519,1.00792,0.98785,1.33669,0.001604,0.001604,0.001604
7,10853.9,0.99043,0.85322,1.30006,0.80197,0.70297,0.78313,0.57617,1.01773,1.04727,1.38331,0.0015248,0.0015248,0.0015248
8,12341.6,0.95796,0.81849,1.27776,0.8732,0.72727,0.83282,0.59817,1.02083,0.90384,1.36651,0.0014456,0.0014456,0.0014456
9,13738.5,0.938,0.78975,1.26673,0.83575,0.73597,0.8231,0.5931,0.95135,0.8722,1.3089,0.0013664,0.0013664,0.0013664
10,15122.9,0.90898,0.76014,1.2408,0.85801,0.70798,0.80489,0.59554,1.05744,0.95168,1.44191,0.0012872,0.0012872,0.0012872
11,16668.4,0.90569,0.7567,1.24736,0.85659,0.74752,0.84383,0.64283,0.91102,0.80411,1.27192,0.001208,0.001208,0.001208
12,18319.2,0.8813,0.72595,1.22256,0.8443,0.79637,0.85866,0.64304,0.96407,0.80903,1.31032,0.0011288,0.0011288,0.0011288
13,19771.1,0.86365,0.71238,1.21773,0.89647,0.78586,0.87093,0.66594,0.89607,0.71677,1.26654,0.0010496,0.0010496,0.0010496
14,21065.7,0.83254,0.68176,1.2044,0.91925,0.74422,0.84992,0.64398,0.90978,0.75795,1.30931,0.0009704,0.0009704,0.0009704
15,22381,0.82393,0.67258,1.19123,0.86301,0.79868,0.87345,0.67186,0.8584,0.70312,1.22176,0.0008912,0.0008912,0.0008912
16,23677.7,0.73223,0.57325,1.15448,0.84621,0.7718,0.85562,0.66273,0.86858,0.75234,1.27178,0.000812,0.000812,0.000812
17,24962,0.70819,0.54769,1.13808,0.85412,0.79223,0.86059,0.64789,0.94628,0.74317,1.32183,0.0007328,0.0007328,0.0007328
18,26267.6,0.69057,0.52607,1.11396,0.87089,0.79027,0.88461,0.68991,0.82981,0.69445,1.18201,0.0006536,0.0006536,0.0006536
19,27526.1,0.67091,0.50523,1.10653,0.88278,0.80779,0.88598,0.67682,0.86959,0.67027,1.22518,0.0005744,0.0005744,0.0005744
20,28808.9,0.6587,0.49427,1.0895,0.89134,0.76568,0.867,0.68116,0.84007,0.6771,1.26617,0.0004952,0.0004952,0.0004952
21,30073.9,0.63789,0.46808,1.08197,0.87052,0.81353,0.88033,0.69658,0.80509,0.64529,1.19283,0.000416,0.000416,0.000416
22,31341.7,0.63268,0.45689,1.07816,0.87184,0.81944,0.88907,0.70895,0.81398,0.64077,1.20153,0.0003368,0.0003368,0.0003368
23,32603.9,0.60747,0.43472,1.06376,0.89996,0.83129,0.90166,0.71963,0.79743,0.57545,1.18662,0.0002576,0.0002576,0.0002576
24,33870.5,0.59051,0.4226,1.04743,0.90031,0.80474,0.89415,0.72127,0.76577,0.59788,1.16113,0.0001784,0.0001784,0.0001784
25,35132.8,0.56863,0.40599,1.03299,0.89857,0.83325,0.90648,0.72946,0.7532,0.57211,1.14561,9.92e-05,9.92e-05,9.92e-05
